set,lens,photo,raw_file,cam_make,cam_model,lens_model,focal_length_mm,fnumber,iso,exposure_time,focus_distance
train,olympus_macro_lens,orange_pulp,burst_0.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_1.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_10.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_11.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_12.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_13.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_14.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_15.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_16.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_17.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_18.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_19.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_2.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_20.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_21.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_22.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_23.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_24.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_25.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_26.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_27.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_28.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_29.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_3.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_4.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_5.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_6.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_7.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_8.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,orange_pulp,burst_9.rw2,Panasonic,DC-GX9,,60,4,1600,0.0125,
train,olympus_macro_lens,engraved_jar,burst_0.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_1.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_10.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_11.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_12.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_13.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_14.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_15.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_16.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_17.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
train,olympus_macro_lens,engraved_jar,burst_18.rw2,Panasonic,DC-GX9,,60,4,1600,0.1,
